,progress_10_years_tr
43,Chronically ill women being able to get support and diagnosis without being gaslit by doctors 
44,"Better sexual health education. One that thoroughly discusses all the nuances of consent, LGBTQ sex, female pleasure, etc."
45,"More women in positions of governmental, judicial, and legislative power globally. In the UK, mortality of black pregnant people to reduce in line with their white counterparts. Gender reassignments to be made free and easily accessible for all ages. All children globally to be in school. "
46,"That there is no automatic assumption about what role women play in families, organisations, communities etc... that everyone is judged for their contribution to society not gender, looks,economics etc"
47,
48,
49,"Being able to exist in this world as womxn without the constant fear of being harassed, abused or killed. The protection of the LGBTQI+ community and transgender people specifically by the law. The recognition of emotional labour as real labour and the abolition of the gendered differences regarding this topic. The abolition of systems that uphold systemic racism and white supremacy. And hopefully so much more that we can'`t even imagine right now."
50,No gender based harassment. The binary is so harmful in keeping us all in ‘our places’
51,"Equal pay, women being celebrated in the workplace aswell as in the home, bring treated as equals in the workplace, having access to the same educational experiences whether in state or private school experience "
52,True application of woman’s biology. 
53,
54,"Having a Gender Balanced Political, economic and social Institutions, Free Dignity kits to women and girls, free education to all. To see Youth leadership in political processes in Africa Region. "
55,"Equal opportunities, equal pay and equal representation. "
56,Seeing more women in positions of power within business and politics. Continuing to make a change from within. 
57,
58,
59,Equal access to opportunities in all countries and reproductive freedom.
60,
61,"No gender pay gap, every country in the world has women'`s human rights, more ""women'`s shelters"", more (intersectional) women in leadership positions"
62,"Equality, equal pay, ending violence and sexual harassment.More women in politics and leadership positions.Better education, or better access to education."
63,"In ten years women should be leaders in every government around the world.\r\nWomen will not have to fear sexual harassment at work, at home, or on the streets. Women will have access to health care and full bodily autonomy. All women will support all women and gender nonconforming people. Women will join together and will champion the cause of racial equality, and the lgbtqia+ rights. All girls will grow up knowing their true value as human beings and feel secure in the knowledge that they can truly do anything. "
64,
65,
66,
67,
68,"Women are represented at a minimum 50/50 in local and national politics. Women are represented at a minimum 50/50 on boards across charity, public and private sector. The gender pay gap is gone. It is common for men and women to split paternity leave, maternity leave lasts for a 3 years so there isn'`t the gap of childcare from 1-3 years in the UK where you don'`t get money for nursery until your child is 3 years old. Carers leave is also a statutory benefit that all employers must abide by."
69,Lifting POC women. None of us are free until all of us are free.
70,More equal than before 
71,
72,
73,"Women and trans women being part of solutions and no longer being treated as an after thought. Women no longer bearing the brunt of war, violence, sexual harassment, climate change, attacks on reproductive justice, lack of worker'`s rights and job security. Decriminalization of drugs, sex work and abortion, world wide. Dismantling of laws and regulations that lead to trafficking and women being exploited. Defunding of police with that money being funnled into education, support for the arts and low-income support."
74,No discrimination \r\nEqual pay\r\nEqual rights\r\nMore women and non gender conforming people in positions of influence and power
75,"Abortion rights, aswell as stigma free healthcare. Freedom from the male gaze will open whole other worlds of freedom for women. Having people where I live learn about third world feminism and FGM. Women being able to exist in their lives and do the things that make them happy without criticism. "
76,
77,"More female leaders, less “gender” labelled jobs and equality across expectations "
78,"The neutralisation of professions (eg. Postman =>  Postperson). Changes from a young age prevent subconcious discrimination. Equal opportunities for all (including non-binary and trans* people). Maternity leave, to encourage both parents being part of a child'`s upbringing. Larger representation at political, managerial and leadership levels. Removal of tax and/or price of sanitary products for all"
79,"All humans, regardless of genitalia,  receive full respect, have access to healthcare and are encouraged (and have the means) to reach their full potential. "
80,Right to decide on reproduction does not achieve discrimination on the basis of sexual identity
81,"Just live for Black Lives Matter, not having to hold up signs that say '`We count'` - for persons of all gender identities"
82,
83,
84,
85,
86,No laws governing our bodies and equal access to reproductive health services 
87,"That we don'`t have to ask questions like that anymore, because questions or polls like that indicate that women are not equal to men!"
88,
89,"All women exist safely and with full control over their bodies, relationships and education "
90,"Reproductive, sexual and bodily autonomy. Equal rights in the work place. Increased feeling of personal safety."
91,
92,
93,"Intersectional - less of a “broad strokes” approach and more of a focus on the intersectional systems of oppression that affect women differently depending upon their demographic background, eg systemic racism, sexism, cissexism, heterosexism, socio-economic status, ableism etc."
94,"In ten years, my granddaughter(s?) will be of reproductive age and likely entering the paid workforce. I would like for the paths available to them to be more diverse than what was possible for me, my sister, my niece, or other women everywhere.  "
95,
96,
97,"Advertising without extreme display of ""traditional"" gender roles, legalisation of publicly informing about abortion, not using religion and tradition to justify homophobia and sexism"
98,Parental leave for both men and women. Equal parenting responsibilities. 
99,"More women of differing colour, sexuality, gender and background in positions of leadership and authority. No longer having to protect ourselves from violent and oppressive men. No women having to suffer through period poverty."
100,ERA passed and enforced
101,
102,
103,
104,More opportunity  in al. Different new areas
105,"more women in politics, stronger laws against rapists, equal pay"
106,"more women in positions of power, more choices "
107,"In ten years, I hope that the phrase ""women'`s rights"" isn'`t used as much because it should be assumed women are equal in all aspects of society.  In ten years, I also hope that there are enough women in positions of power that the advocacy for other women to join those positions is natural and widespread.  "
108,"Not living in fear, equal pay, racial inclusion/equity."
109,Equal pay; reduced domestic violence; increased female political & business leadership 
110,Social Equity
111,
112,
113,"Women and workers are represented in politics at all levels, and politicians are not career hunters but people who care about society."
114,
115,Hopefully greater than the last ten years. So much has happened recently and I am hopeful that those things will be a catalyst for change
116,"No need to fight for the rights, but continue to work and develop areas of life."
117,"Women have bodily autonomy, economic freedom and feel safe"
118,"THE FREEDOM TO BE EDUCATED AND MARRY BY CHOICE.  \r\nA radical shift in social perspective regarding bodily autonomy and what constitutes as harassment and violence. \r\nMore spaces being open to women and gender nonconforming people - not just in terms of high profile jobs, but even as autodrivers, bus drivers, bus conductors, etc (but that requires a huge shift in the economy because there already aren'`t enough jobs). Also, being able to walk alone at night,  although it doesn'`t y feel like ten years will be enough to achieve that.  \r\nNot having to be okay with the bare minimum in terms of representation for women (India'`s first mainstream movie about lesbians passed the bechdel test because if ONE scene that lasted 60seconds).\r\nUnderstanding intersectional feminism within the Indian context - respect and opportunity for dalit women, Muslim women not being patronised for practising their religion.  "
119,Acceptance ands respect for all 
120,Equity for all women and gender-diverse people
121,"Real and consistent punishment for domestic abusers, abortion on demand, freedom of gender/sexual expression for women everywhere, real solutions to climate change being implemented globally. "
122,It looks like I will have 100% control of my body. Abortion isn’t shunned. It’s accepted. It means when I’m the only woman at work that the men have respect for me and other women and I no longer have to hear harassment. I’m treated equally and given the pay I deserve. 
123,
124,"I’m hoping there is more equality in women’s rights, I’m hoping women are taken more seriously and are more supported. Even looking at male dominated professions.. they receive wage increases often. Whereas women dominated professions do not. I hope in 10 years I can prove to\r\nMy future daughter that she’s equal. "
125,I think the woman suffered a lot from lacking of  social support. Low economic standards .. many of her rights  are violated 
126,"Equity, inclusion, educating "
127,"20% growth seen internationally in women in THE leadership positions: business owners, CEOs, partners in firms, Presidents or Prime Ministers of countries; 30% growth in number of women of color in USA Senate."
128,Equal rights! 
129,More women in poltical positions of power to be able to instititute real change and less women living fear of violence and economic instability. 
130,
131,
132,
133,
134,I see a slight improvement in the situation at political level
135,"Gender equity is vital. In ten years, I want women to have the same political, social, and economic power and privilege as men. Women should have the same political autonomy and opportunity: the ability to enter politics and succeed in politics as often and as easily as men can. Women'`s bodies and health issues should no longer be political hot topics (for example, reproductive rights and supports must be a fundamental part of every country'`s health system). Social discrimination against women must end: no more negative stereotyping, and women must no longer be expected to fill a narrow set of societal positions (such as mother, caretaker, wife). Male violence, domestic abuse, and other forms of violence against must end. Clothing, media, and other items or ideas that are seen as feminine cannot be viewed as more shallow, more inferior, or worse in any way. Women'`s habits and mannerisms (such as uptalk and vocal fry) can no longer be framed as negative in any way. Women must also have total economic empowerment: women must be paid as much as men for the same work and must have the same chances for career advancement, regardless of their family situation. Career fields that are dominated by women can no longer be lower paying than those dominated by men. All this and more. "
136,"that any man that abuses/sexually abuses/kills a girl or a women is charged/processed in a jail or mental health unit. Specifically in Mexico, where 10 women/girls die per day!!!!!!!!"
137,"World wide free birth control, better education on reproductive health for medical staff, improved access to safe spaces for women, especially asylum seekers/ refugees"
138,"Equal education, opportunities and pay. No violence or harassment. "
139,Access to quality reproductive health care for women regardless of socioeconomic or racial background. 
140,Smash the patriarchy 
141,
142,
143,"Equal access to education and employment opportunities, equal wages, women taken more seriously in their roles, women to have their own choices with their bodies without judgement (reproductive freedom)"
144,
145,
146,
147,One where all women irregardless of race or gender have equal opportunities and rights as those afforded to men across all aspects of society 
148,
149,
150,Less cis het able bodied white men in power and more of anyone who does not fit in those categories.
151,
152,"A female president, free healthcare and abortion access, men understanding toxic masculinity, men listening "
153,Seriousness
154,"i do not care how unrealistic this list might be but here it is : \r\n\r\n> recognition rights for transgender women equal to those of cisgender women\r\n> acceptance of women who are transgender as women\r\n> no discrimination on the basis of sex characteristics (so no exclusion of transgender women from spaces with cisgender women)\r\n> gender identity and gender expression accepted as human rights categories\r\n> acceptance that women who are transgender who are attracted to women can call themselves lesbian (so no denial that women who are transgender can be lesbian)\r\n> numbers of women in government to be equal to those of men\r\n> numbers of women in STEM to be equal to those of men\r\n> no corrective rapes for lesbian/bi/pan/queer women\r\n> no domestic violence for women\r\n> equal pay for women\r\n> reproductive rights (such as abortion or IVF) for women\r\n> bodily autonomy for women especially intersex women and transgender women\r\n> no FGM\r\n> no honour killings of women\r\n> education for all women\r\n> no ""period poverty""\r\n> no sex trafficking of women\r\n> no ""modern slavery"" for women\r\n> equal property rights for women\r\n\r\njust to give a few items"
155,
156,
157,
158,Dispensing with our reliance on heteronormativity and gender/sexuality binaries
159,Equality and basic rights are something that is part of our lives and not something that has to be a reminder 
160,"No women feels scared to to be in a home/room/office because she is a woman, and every woman feels empowered to make decisions for her body, family, career"
161,"Policies that create equity and respect intersectionality of women'`s gender identity, race, and socio-economic background. "
162,We no longer question women’s leadership and hold double standards for them.  Women are thriving in all arenas where they engage and we have policies supporting families so all children are thriving too. 
163,Intersectional conversations - finally - and increasing the number of women leaders who have power in decisions.
164,
165,
166,
167,
168,"I have no idea. I’d love to say, equal pay, trans rights enshrined in law and free healthcare (including reproductive healthcare and abortions) for all who need it. We can but hope."
169,Defeating misogyny.
170,"All women are literate, have access to reliable birth control, making family sizes larger and providing economic and educational opportunities to all people"
171,
172,
173,
174,
175,Gender is not an issie
176,"I have one adult daughter and two elementary school daughters. Progress looks like them feeling safe in every space to be who they are. Specifically, those spaces need to be rid of sexist language and language that implies that they are different or less than. More elected official locally, in our state and in our country that identity as women. More women in leadership roles in organizations."
177,Better 
178,Better than now. More equality and respect and career opportunities without reproach and distribution of roles
179,
180,
181,
182,
183,Women are in power .equal to man. Environment sustainablity each and everyone is earning and enjoying life
184,"Government supported social support systems, such as parental leave care, maternal healthcare, funding for women'`s reproductive health"
185,Being looked at as a complete equal at a table. 
186,"more comprehensive support through matrescence and early parenting/early childhood in order for women of all racial background to fully participate in social, political and economic empowerment"
187,"I am always shocked, when working globally, to see women who maintain their lives within their social norms- even holding others to them with shame and worse, while understanding they are not free.  Women’s human rights progress in 10yrs would be women support youth and women who dream larger then they were able to, for each generation to believe in the next generation, breaking down the religious, social and cultural barriers we have helped build and support in the past."
188,
189,"Equal pay, deregulation on abortion policies, More gender and race proportionate representation in government, increased social nets for low-income single mothers, longer and better maternity and paternity leave policies at the federal-level."
190,
191,
192,Women being in power and having autonomy being normalised. 
193,all woman are educated and have choice about their reproduction and marriage status
194,
195,
196,
197,"A first-grader with parents who support all of her paths (rather than a heightened emphasis on marriage and children), teachers who nudge all areas of her brain (including STEM), role models across all sectors, future partners who see her as an equal (rather than exploiting her body and burdening her with additional home responsibilities), future employers that hire,  promote, provide, and pay equally, and her blossoming self-confidence to be her true and full self. "
198,
199,
200,
201,"I think that the movement for women'`s rights will be more and more successful after time, and while it probably won'`t be perfect in 10 years, I think it will be a LOT better."
202,
203,"Equal Pay\r\nJustifiably Harsher Legislative and Social Consequences for Rape, Domestic Violence, Assault, Abuse\r\n\r\nCurriculum Programming of Women’s and Intersectional Studies\r\n\r\nCurriculum Programming on Emotional and Relationship Health\r\n\r\nMore women in every field of work, especially BIPOC women- politics, government, top offices\r\n\r\nEducation for boys and men on sexism,  rape and violence towards women\r\n\r\nMaking real amends for Indigenous peoples and lifting up the women in those communities\r\n\r\nPutting much more funds into education and empowering women\r\n\r\nTeaching more intersectional feminism\r\n\r\nCurriculum teaching of anti-racism\r\n\r\nPrograms to educate against women competing or bringing one another down\r\n\r\nPaid maternity leave\r\n\r\nRaising the minimum wage\ r\n\r\nPaid feminine hygiene products\r\n\r\nThe pill for men\r\n"
204,"Closure of not only the gender pay gap, but also the gender wealth gap. Continued commitment by government to the 50-50 gender representation in leadership"
205,A victim-survivor centred justice process for gendered crimes. Education in all schools about gender and sexuality throughout the curriculum to reduce social stigma. Equal pay for equal work. Reproductive rights and rights for Lgbt people in more places around the world. More women in positions of power in all sectors. Reduction in casual sexism. Ending public sexual harassment. There is so much work to be done.. 
206,"gender parity in government, education, religion, realtionships"
207,Less global domestic violence against women. Right to vote in all countries. No gender pay gap. 
208,
209,Birth control and abortion available to all\r\nWomen'`s equality\r\n
210,Taking into account ALL women
211,"Pay equity, social taboo of discrimination for sex/gender/sexual orientation, more women in leadership roles in our area. "
212,
213,Full economic and legal equity. An end to patriarchy
214,"Equal pay, less conversation around outdated societal norms like  “when are you going to start having kids”. "
215,No gender assumptions on roles.
216,By 10 years every women will be able to enjoy her human rights without barriers or stigma 
217,"Everyone standing on the same basis, no discrimination of any type. No need to have quotas as equality is achieved in a just manner. Being able to walk down the streets without; being harassed, being picked on just because of the colour of the skin or your orientation. Having the same opportunities."
218,Not much will change in the developing world for the majority of women who will still remain the most marginalised section of society. Only education can improve their situation by empowering them both economically as well as by making them aware of their basic human rights.
219,
220,
221,"Reduction in gender-based violence, increase in women'`s political and economic participation "
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,Women in other countries having equal rights. 50% women in political positions
232,
233,
234,
235,"I hope that by then we will no longer be talking about the human rights of ""women"". But of human rights."
236,Equality with question marks
237,Everyone is able to pursue careers of their choosing without non-skill based barriers. Those who do not want to or cannot work are financially and socially supported with no shame. All decisions about a body are made by the one who has it. 
238,"Genuine equality, no poverty in old age for women, no forced prostitution, no forced marriages, economic independence"
239,
240,
241,That we no longer have to ask this question
242,
243,
244,
245,equal rights and wage pay for women
246,"I have four children, two own and two adoptees, Stay tuned for me."
247,
248,"Where holding the same position as any man is a non issue and expected as a norm, for all women, not just  white, middle class women"
249,
250,
251,"Gender pay gap overcome, right to abortion, right to adoption for same-sex couples, role models overcome"
252,
253,It’s a great mystery! I hope equality
254,"Equal pay, 50% quota in economic, educational and political governing bodies, new, effective anti-discrimination laws that are also enforced."
255,
256,Maximum 50%
257,"Globally evil, reasonably good locally"
258,In 10 years I would love to see a world where women have full reproductive and health rights both in policies and in practice.
259,
260,"Equality for women and men has been achieved - not only on paper, but in reality."
261,
262,
263,"Equal employment conditions & remuneration, less sexism, less reduction to gender and associated stereotypes, equal opportunities, fairness (for all genders), parental leave"
264,Women will be more strongly represented in leadership positions and at the political level
265,probably just a little better
266,Self-determination.\r\nPayment equality\r\nEquat career opportunities\r\nNufficially funded crèches by the state\r\nAll genders are equally promoted\r\nIn-school education on sexual diversity
267,Better
268,
269,"Should by then be implemented much faster than before topics such as equal pay, equality in the profession over-promotion possibility.  Maternity leaves must be adapted and flexible and significantly longer."
270,"in some cases, there will be more setbacks (anti-genderism, prolonged violence, etc.)"
271,"Many more people, men and women, have understood that all people are equally valuable"
272,
273,Women are equal to men in all areas - this path is still long and 10 years are probably not enough...
274,
275,
276,"Equal pay and hiring opportunities, equal respect for jobs held by mostly women, elimination of rape culture, elimination of societal gender roles"
277,
278,free from economic and social discrimination of any kind
279,
280,
281,
282,"Equality, dealing with women-specific issues, no stigmatization, equal pay, equal rights and opportunities, women not considered the weak sex, self-determination"
283,
284,
285,discrepancy 1st and 3rd/4th world
286,
287,"Nationally very different because of the extent of democracy in the individual country. Hope for the separation of religion and state in most countries, for the end of dictatorships in Russia, China,..."
288,"No more violence against women and equal pay. In addition, there should be more women in management positions. Fair division of labour in the household."
289,in Switzerland unfortunately very gloomy 
290,Collectivizing care work
291,"A culture shift so all public spaces are inclusive and intersectional, a more equitable public safety net, fair wages, equitable representation and an earth that hasn’t been destroyed by climate change"
292,
293,"Paid maternity leave everywhere, access to safe abortion, free medical care"
294,
295,"Equality, due respect for women, equal pay for equal work"
296,Protection of children/girls\r\nEfacial support for women and financial support for institutions such as women'`s shelters \r\n
297,"When I see how timid progress has been so far, I'`m not very confident for my daughters. "
298,
299,Not good
300,more influence and more power of women
301,"Equal pay for equal work, reduction of violence compared to today, human rights and human duties are better balanced."
302,
303,
304,"Instead of talking about women, it is internationally recognized that trans, non-binary and inter-persons are also affected by patriarchal violence and that capitalist exploitation and systemic racism and sexism are linked. Only then can action be taken against it."
305,
306,"The woman'`s body is her ""territory"". After a few years with quotas in the world of work, these will no longer be necessary in 10 years; Women are on an equal footing with men in all aspects of the world of work."
307,"Actual equality, free access to contraceptives, one-year parental leave, equal pay for equal work, gender-appropriate language everywhere, at least 50% of women in management positions"
308,equal pay for equal work
309,"hopefully we will be able to help women internationally become more self-esteemed, independence and better socially better positioned."
310,Equal pay for equal work
311,equal pay
312,
313,"I hope better on a political level, but not much better in people'`s minds..."
314,
315,
316,
317,"Fairer distribution of resources\r\n""Only a yes is a yes"""
318,
319,
320,More self-evident equivalence and equality 
321,"Clearly recognize differences between men and women and still create ideal framework conditions for both sexes, because it is not as clear as one supposedly thinks, this binarity manifests itself more complex in humans. You only see well with your heart. Smarter solutions, more freedom of choice for all genders."
322,"We should already be so far today that we no longer have to distinguish between man and woman, in terms of working conditions, wages, care work (unpaid), marriage law (surname etc.), there must simply be no more gender-specific discrimination accepted, in 10 years that must be gone! "
323,Equality in all areas of women'`s lives. Stop violence and abuse. 
324,
325,That there is no longer any difference between man and woman.
326,"I can'`t answer like that, because I'`m not actively involved in this topic. "
327,"hopefully equality with men at all levels, at least in Switzerland or the ""Western world"". Desirable of course also in other countries, but perhaps too optimistic. but certainly significant improvement in equality worldwide"
328,"More education, more awareness of one'`s own rights, more support/cohesion across countries"
329,"finally equal opportunities, conditions - self-determination regarding prevention, abortion - AHV and pension regulation - Taxation of menstrual articles at 2.4% or abolish - Assumption of health insurance every year Gynaecologist"
330,We'`d no longer have to take a survey to talk about women'`s human rights - it would just be a given. 
331,
332,Equal pay for equal work.\r\nNo bullying in the workplace 
333,Equal rights for all at the same level as in Iceland today. 
334,"Women are also more strongly represented in STEM subjects, on boards of directors and in political bodies than they are today (at least 10% more). "
335,Equal pay\r\nViolence against women is recognised and prosecuted
336,"Equal pay, equal opportunities,\r\nMore responsibility of men in contraception, \r\nToleranz among women,\r\nLegal facilitation of lesbian couples'` desire to have children,\r\nShare of men and women with part-time work is the same at all levels of education,\r\nAbmehmender mental load among women as opposed to today"
337,
338,
339,"Equal pay for equal work, better structure/division in one household, equal rights for all people"
340,
341,
342,"Equality between men and women, in particular equal pay\r\nNo sexual violence,\r\nNo forced marriages"
343,"Hopefully better than today, especially in countries outside Europe"
344,"At least in the Western world, women are treated on an equal footing with men!"
345,
346,
347,"We can move freely, even at night, without fear. We have equal opportunities on the labour market. Our partners treat us on an equal footing. There is no difference in education. "
348,"Recognition of emotional load, unpaid work, voluntary work. Women* should be recognized and paid equally for what they do. Problems of women* should not simply be dismissed, research in health areas that are of particular concern to women*. Feminism as a minimum standard for all"
349,
350,"Women have a real choice in their way of life, even if they start a family. Real equal opportunities. equal pay for equal work. Payment for all care work, e.B. also in the form of time credits. Better developed contraceptives for men. "
351,free and self-determined. physically and psychologically intact. access to all positions. 
352,"Too slow, but continuously positive development"
353,
354,
355,"Self-determination, real choice, recognition for the work done"
356,"Different depending on the region of the world, but I hope it goes forward everywhere"
357,The introduction of parental leave allows men and women alike to play their part in family work and treats male and female candidates equally when filling vacancies; flexible working models in all sectors make it possible for men and women alike to reconcile family and employment; Women are increasingly taking on political responsibility 
358,"Hopefully towards free, equal and self-determined, as a consolidated political and socio-cultural common good. As far as my wish ... however, it will still be a path that has not yet been completed."
359,
360,"If we do not manage to stand up against it together (all), it will not be better than today!"
361,
362,"Greater access to reproductive health care and education. An end to workplace discrimination for ALL women, including queer and transgender women (this includes eliminating the ""pay gap""). Greater accountability for sexual harassment and an end to gender-based violence. Women in positions of power (maybe have a woman as president finally?)."
363,
364,
365,-equal pay for equal work > worldwide\r\n-at least 50% of political and business leaders are female\r\n-all women have access to education > worldwide\r\n- every woman determines her body and her own life\r\n
366,Complete body autonomy\r\nEqual pay for equal work\r\nFully balanced political representation
367,"Equal pay, self-determined life, balanced representation in politics and business, also in the top management"
368,"Women should earn the same amount for equal work, have equal opportunities for advancement, be able to fall back on structures for childcare, and should also be fully represented in the language."
369,
370,
371,
372,
373,
374,I am convinced that women in poor countries will also join together to create communities of interest and thus gain power.
375,
376,That it is simply self-evident without discussion
377,"More genders identities in seats of power in public, private and nonprofit institutions - more localization of funding with gender diverse people at the helm."
378,
379,"Less violence and discrimination, more self-evident access to education, work, participation in social life"
380,rather minim to medium
381,"Destigmatize Abortion, criminalize street and workplace harassment for effectively, educate people esp. young people about consent, what constitutes harassment, LGBTQ+ rights/history/issues, educate people about eating disorders and deconstruct body shaming"
382,
383,I fear that in 10 years we won'`t be much further along as we are today.
384,"No discrimination in the workplace (wages, employee behaviour)\r\nReal opportunities and possibilities to unite our work and family life\r\nWomen make up at least 50% of decision-makers\r\nSubtiles of women have disappeared from our everyday lives and are no longer accepted by society\r\nRepresentation of women in the media is not shaped by the male gaze,  but we are portrayed as complete and multifaceted people\r\nOur importance is no longer defined by our appearance or our relationships with men\r\nWe can go through our lives free from fear of sexual abuse, or at least in the knowledge that our abusers will be adequately punished\r\nWomen can marry women and adopt children \r\n(All very idealistic and hopeful,  I know)"
385,To be able to live in any form without fear of violence.
386,
387,"Regardless of gender: Opportunities in all fields of work with strong workers’ rights, progressive representation at all levels of government, and control over our own bodies. Links must also be made with trans and non-binary people. "
388,Right to self-determination and autonomy
389,
390,
391,"Equality means abolition of patriarchy.  Flint individuals do not have to adapt or submit to avoid being subjected to structural violence.  Gender-specific research is carried out, the needs of FTIQ are taken into account and feminist concerns are supported.  Cis men are allys and do not feel threatened by femists. "
392,the young women become more self-confident in their demands and in their way of life. the young men support this
393,
394,"Equal pay; freedom from harassment and abuse in the workplace and home; equal share of home labor - both mental and physical, and childcare; equal representation in government (particularly with representation from marginalized races and ethncities); easy, quick, and local access to abortions without a wait limit; pre- and post-natal support; at least 12 months paid parental leave for both parents; easy, accessible, and quality child care; collective, community support; UBI"
395,"Less physical violence against women, equal working conditions and pay, no discrimination against women "
396,"Equal pay especially in typical women'`s occupations, better reconciliation of family and career, part-time work for all at all levels\r\n\r\n"
397,a few small steps better
398,
399,
400,"Women can ensure an environmentally conscious, sustainable way of life to make life worth living for future generations. Problems such as overpopulation, exploitation and destruction of the environment are key issues that women can actively address"
401,
402,
403,"Equal pay for equal work, parental leave, protection against discrimination and abuse "
404,"Integration into the respective society. \r\nIn Society, Law and Education & Work. \r\nA woman'`s arm remains at the mercy of her. If there is no functioning legal system, the poorer ones are at the mercy. \r\nAlthing as a long-term help for all, women and men. "
405,
406,
407,
408,
409,
410,
411,
412,
413,"Since we are completely out of the rut with Corona, the gap between powerful and weak will open up again. Some women are among the ""weak"" and are more likely to suffer more again. Weak = poor/uneducated/from minorities...."
414,Closer to the fact that equality simply has to be lived and not demanded.
415,
416,"Definitely better! The archaic macho types, the patriarchs and the uneducated regulars'` table timpani will soon fall silent."
417,
418,In 10 years in the UK I would like for:\r\n-PSH to be illegal AND no longer culturally acceptable\r\n-the gender pay gap (particularly for women from BAME backgrounds) to have closed\r\n\r\nAround the world:\r\n-Abortion legal in (almost) al countries\r\n-Violence against women illegal in (almost) all countries\r\n-No tax anywhere on women'`s sanitary products (and a lot more free ones)
419,"Women'`s rights = human rights\r\nEnsality + equal opportunities, "
420,"Men participate in the care, care and care of children on an equal footing with women."
421,"Education for women\r\nLess children\r\nEgleich rights, equal opportunities for men and women"
422,"At the moment, the rights of women AND men are in the foreground for me, because the state of emergency has attacked the legal certainty of ALL citizens. Progress at the moment means: immediate termination of the unconstitutional state of emergency and subsequent review of the appropriateness of the government measures taken in connection with Corona by an interdisciplinary committee of inquiry, which must be 100% composed of persons who are not in a conflict of interest with an authority of the government, the health industry and the big tech industry."
423,"better, not yet good"
424,
425,
426,
427,"Decent salaries, worker representation by unions or other organizations working on behalf of workers; childcare everywhere, available and as a part of state services; Health care services- safe and welcoming to all people - guaranteed to all; high quality education and programs for under served communities to have internships, scholarships, and training based on abilities as part of universal education paid for by state/federal governments; rural transportation adequately serving the needs of rural residents; universal access to internet and other technologies in rural environments"
428,Self-determination is continuously present; wage justice; 50% represented in leading economic and political positions; family-friendly social structures; All this in society is a matter of course 
429,access to all educational and job opportunities for women and men; equal wages for equal work; no more discrimination on grounds of sex
430,As an individual and female human being in his gender-specific nature and expression fully and equally recognized in society as a whole.
431,
432,Positive if we continue to work hard and stay tuned!
433,Still difficult 
434,"Women have equal rights at all levels and have access to education everywhere, can freely dispose of their bodies."
