iso3166,gender,race,age,language,progress_10_years_tr
US,woman,native_american+white,25 to 34,en,It looks like I will have 100% control of my body. Abortion isn’t shunned. It’s accepted. It means when I’m the only woman at work that the men have respect for me and other women and I no longer have to hear harassment. I’m treated equally and given the pay I deserve. 
CA,,,,,
CA,woman,white,25 to 34,en,"I’m hoping there is more equality in women’s rights, I’m hoping women are taken more seriously and are more supported. Even looking at male dominated professions.. they receive wage increases often. Whereas women dominated professions do not. I hope in 10 years I can prove to\r\nMy future daughter that she’s equal. "
NG,woman,middle_eastern,55 to 64,en,I think the woman suffered a lot from lacking of  social support. Low economic standards .. many of her rights  are violated 
CA,cisgender_woman+woman,white,25 to 34,en,"Equity, inclusion, educating "
US,cisgender_woman,white,35 to 44,en,"20% growth seen internationally in women in THE leadership positions: business owners, CEOs, partners in firms, Presidents or Prime Ministers of countries; 30% growth in number of women of color in USA Senate."
CA,woman,middle_eastern,35 to 44,en,Equal rights! 
CA,cisgender_woman+woman,white,45 to 54,en,More women in poltical positions of power to be able to instititute real change and less women living fear of violence and economic instability. 
US,woman,hispanic_or_latinx+white,25 to 34,,
CH,,,,,
UK,cisgender_woman+woman,white,18 to 24,en,
UK,woman,white,18 to 24,,
CH,transgender_woman,white,45 to 54,de,I see a slight improvement in the situation at political level
CA,non_conforming_or_non_binary+woman,white,18 to 24,en,"Gender equity is vital. In ten years, I want women to have the same political, social, and economic power and privilege as men. Women should have the same political autonomy and opportunity: the ability to enter politics and succeed in politics as often and as easily as men can. Women'`s bodies and health issues should no longer be political hot topics (for example, reproductive rights and supports must be a fundamental part of every country'`s health system). Social discrimination against women must end: no more negative stereotyping, and women must no longer be expected to fill a narrow set of societal positions (such as mother, caretaker, wife). Male violence, domestic abuse, and other forms of violence against must end. Clothing, media, and other items or ideas that are seen as feminine cannot be viewed as more shallow, more inferior, or worse in any way. Women'`s habits and mannerisms (such as uptalk and vocal fry) can no longer be framed as negative in any way. Women must also have total economic empowerment: women must be paid as much as men for the same work and must have the same chances for career advancement, regardless of their family situation. Career fields that are dominated by women can no longer be lower paying than those dominated by men. All this and more. "
CA,woman,hispanic_or_latinx,45 to 54,en,"that any man that abuses/sexually abuses/kills a girl or a women is charged/processed in a jail or mental health unit. Specifically in Mexico, where 10 women/girls die per day!!!!!!!!"
UK,cisgender_woman+woman,white,25 to 34,en,"World wide free birth control, better education on reproductive health for medical staff, improved access to safe spaces for women, especially asylum seekers/ refugees"
US,woman,hispanic_or_latinx,55 to 64,en,"Equal education, opportunities and pay. No violence or harassment. "
US,woman,white,45 to 54,en,Access to quality reproductive health care for women regardless of socioeconomic or racial background. 
CH,woman,choose_not_to_identify,45 to 54,en,Smash the patriarchy 
US,woman,white,35 to 44,,
UK,cisgender_woman+woman,white,25 to 34,,
CA,woman,racial_identity_not_listed,25 to 34,en,"Equal access to education and employment opportunities, equal wages, women taken more seriously in their roles, women to have their own choices with their bodies without judgement (reproductive freedom)"
UK,woman,middle_eastern,35 to 44,,
US,,,,en,
UK,cisgender_woman+woman,white,25 to 34,,
BE,woman,biracial_or_mixed,25 to 34,en,One where all women irregardless of race or gender have equal opportunities and rights as those afforded to men across all aspects of society 
US,,,,,
US,woman,black_or_of_african_descent,18 to 24,en,
US,cisgender_woman,white,25 to 34,en,Less cis het able bodied white men in power and more of anyone who does not fit in those categories.
US,,,,,
US,woman,white,25 to 34,en,"A female president, free healthcare and abortion access, men understanding toxic masculinity, men listening "
BJ,woman,black_or_of_african_descent,18 to 24,fr,Seriousness
UK,non_conforming_or_non_binary+transgender_woman+woman,white,55 to 64,en,"i do not care how unrealistic this list might be but here it is : \r\n\r\n> recognition rights for transgender women equal to those of cisgender women\r\n> acceptance of women who are transgender as women\r\n> no discrimination on the basis of sex characteristics (so no exclusion of transgender women from spaces with cisgender women)\r\n> gender identity and gender expression accepted as human rights categories\r\n> acceptance that women who are transgender who are attracted to women can call themselves lesbian (so no denial that women who are transgender can be lesbian)\r\n> numbers of women in government to be equal to those of men\r\n> numbers of women in STEM to be equal to those of men\r\n> no corrective rapes for lesbian/bi/pan/queer women\r\n> no domestic violence for women\r\n> equal pay for women\r\n> reproductive rights (such as abortion or IVF) for women\r\n> bodily autonomy for women especially intersex women and transgender women\r\n> no FGM\r\n> no honour killings of women\r\n> education for all women\r\n> no ""period poverty""\r\n> no sex trafficking of women\r\n> no ""modern slavery"" for women\r\n> equal property rights for women\r\n\r\njust to give a few items"
UK,,,,en,
IE,,,,en,
US,cisgender_woman,white,35 to 44,en,
US,cisgender_woman,white,55 to 64,en,Dispensing with our reliance on heteronormativity and gender/sexuality binaries
CA,cisgender_woman+woman,white,25 to 34,en,Equality and basic rights are something that is part of our lives and not something that has to be a reminder 
US,woman,white,25 to 34,en,"No women feels scared to to be in a home/room/office because she is a woman, and every woman feels empowered to make decisions for her body, family, career"
US,cisgender_woman,white,25 to 34,en,"Policies that create equity and respect intersectionality of women'`s gender identity, race, and socio-economic background. "
US,woman,white,55 to 64,en,We no longer question women’s leadership and hold double standards for them.  Women are thriving in all arenas where they engage and we have policies supporting families so all children are thriving too. 
US,woman,white,35 to 44,en,Intersectional conversations - finally - and increasing the number of women leaders who have power in decisions.
FR,,,,,
US,,,,en,
UK,,,,,
UK,,,,,
UK,cisgender_woman+woman,white,35 to 44,en,"I have no idea. I’d love to say, equal pay, trans rights enshrined in law and free healthcare (including reproductive healthcare and abortions) for all who need it. We can but hope."
US,woman,white,65 to 74,en,Defeating misogyny.
US,woman,white,55 to 64,en,"All women are literate, have access to reliable birth control, making family sizes larger and providing economic and educational opportunities to all people"
CA,,,,,
UK,cisgender_woman+woman,white,25 to 34,,
US,,,,,
US,,,,,
US,woman,white,65 to 74,en,Gender is not an issie
US,woman,biracial_or_mixed+hispanic_or_latinx+native_american+white,35 to 44,en,"I have one adult daughter and two elementary school daughters. Progress looks like them feeling safe in every space to be who they are. Specifically, those spaces need to be rid of sexist language and language that implies that they are different or less than. More elected official locally, in our state and in our country that identity as women. More women in leadership roles in organizations."
IN,man,south_asian,45 to 54,en,Better 
CH,woman,choose_not_to_identify,18 to 24,de,Better than now. More equality and respect and career opportunities without reproach and distribution of roles
CA,,,,,
US,woman,white,25 to 34,,
UK,woman,white,55 to 64,en,
DE,,,,,
IN,woman,asian,45 to 54,en,Women are in power .equal to man. Environment sustainablity each and everyone is earning and enjoying life
US,cisgender_woman,asian+south_asian,35 to 44,en,"Government supported social support systems, such as parental leave care, maternal healthcare, funding for women'`s reproductive health"
CA,woman,white,25 to 34,en,Being looked at as a complete equal at a table. 
US,woman,white,35 to 44,en,"more comprehensive support through matrescence and early parenting/early childhood in order for women of all racial background to fully participate in social, political and economic empowerment"
US,cisgender_woman+woman,white,45 to 54,en,"I am always shocked, when working globally, to see women who maintain their lives within their social norms- even holding others to them with shame and worse, while understanding they are not free.  Women’s human rights progress in 10yrs would be women support youth and women who dream larger then they were able to, for each generation to believe in the next generation, breaking down the religious, social and cultural barriers we have helped build and support in the past."
DE,,,,,
US,woman,white,25 to 34,en,"Equal pay, deregulation on abortion policies, More gender and race proportionate representation in government, increased social nets for low-income single mothers, longer and better maternity and paternity leave policies at the federal-level."
US,,,,,
US,woman,asian,25 to 34,en,
IN,cisgender_woman,south_asian,18 to 24,en,Women being in power and having autonomy being normalised. 
US,woman,white,55 to 64,en,all woman are educated and have choice about their reproduction and marriage status
FR,,,,,
BE,,,,,
US,woman,hispanic_or_latinx,45 to 54,,
US,woman,white,25 to 34,en,"A first-grader with parents who support all of her paths (rather than a heightened emphasis on marriage and children), teachers who nudge all areas of her brain (including STEM), role models across all sectors, future partners who see her as an equal (rather than exploiting her body and burdening her with additional home responsibilities), future employers that hire,  promote, provide, and pay equally, and her blossoming self-confidence to be her true and full self. "
US,,,,en,
MX,cisgender_woman,hispanic_or_latinx,25 to 34,es,
CA,,,,,
US,non_conforming_or_non_binary,biracial_or_mixed+white,18 to 24,en,"I think that the movement for women'`s rights will be more and more successful after time, and while it probably won'`t be perfect in 10 years, I think it will be a LOT better."
US,,,,,
CA,cisgender_woman,white,25 to 34,en,"Equal Pay\r\nJustifiably Harsher Legislative and Social Consequences for Rape, Domestic Violence, Assault, Abuse\r\n\r\nCurriculum Programming of Women’s and Intersectional Studies\r\n\r\nCurriculum Programming on Emotional and Relationship Health\r\n\r\nMore women in every field of work, especially BIPOC women- politics, government, top offices\r\n\r\nEducation for boys and men on sexism,  rape and violence towards women\r\n\r\nMaking real amends for Indigenous peoples and lifting up the women in those communities\r\n\r\nPutting much more funds into education and empowering women\r\n\r\nTeaching more intersectional feminism\r\n\r\nCurriculum teaching of anti-racism\r\n\r\nPrograms to educate against women competing or bringing one another down\r\n\r\nPaid maternity leave\r\n\r\nRaising the minimum wage\ r\n\r\nPaid feminine hygiene products\r\n\r\nThe pill for men\r\n"
US,woman,white,25 to 34,en,"Closure of not only the gender pay gap, but also the gender wealth gap. Continued commitment by government to the 50-50 gender representation in leadership"
UK,non_conforming_or_non_binary+woman,white,18 to 24,en,A victim-survivor centred justice process for gendered crimes. Education in all schools about gender and sexuality throughout the curriculum to reduce social stigma. Equal pay for equal work. Reproductive rights and rights for Lgbt people in more places around the world. More women in positions of power in all sectors. Reduction in casual sexism. Ending public sexual harassment. There is so much work to be done.. 
US,woman,white,65 to 74,en,"gender parity in government, education, religion, realtionships"
UK,woman,white,25 to 34,en,Less global domestic violence against women. Right to vote in all countries. No gender pay gap. 
US,,,,,
US,woman,white,75 or older,en,Birth control and abortion available to all\r\nWomen'`s equality\r\n
BE,cisgender_woman,white,25 to 34,en,Taking into account ALL women
CA,cisgender_woman,white,25 to 34,en,"Pay equity, social taboo of discrimination for sex/gender/sexual orientation, more women in leadership roles in our area. "
CA,,,,,
NZ,woman,white,65 to 74,en,Full economic and legal equity. An end to patriarchy
CA,woman,white,35 to 44,en,"Equal pay, less conversation around outdated societal norms like  “when are you going to start having kids”. "
CA,woman,white,45 to 54,en,No gender assumptions on roles.
NG,woman,black_or_of_african_descent,55 to 64,en,By 10 years every women will be able to enjoy her human rights without barriers or stigma 
NL,woman,hispanic_or_latinx,25 to 34,en,"Everyone standing on the same basis, no discrimination of any type. No need to have quotas as equality is achieved in a just manner. Being able to walk down the streets without; being harassed, being picked on just because of the colour of the skin or your orientation. Having the same opportunities."
IN,woman,asian,45 to 54,en,Not much will change in the developing world for the majority of women who will still remain the most marginalised section of society. Only education can improve their situation by empowering them both economically as well as by making them aware of their basic human rights.
US,woman,white,25 to 34,en,
US,cisgender_man+man,white,25 to 34,,
US,woman,asian+white,25 to 34,en,"Reduction in gender-based violence, increase in women'`s political and economic participation "
NG,,,,,
MX,,,,,
CH,,,,,
CH,,,,,
CH,,,,,
CH,woman,indigenous+white,65 to 74,en,
CH,,,,,
CH,,,,,
CH,,,,,
CA,woman,white,25 to 34,en,Women in other countries having equal rights. 50% women in political positions
CH,cisgender_woman+woman,white,35 to 44,,
CH,man,indigenous+white,25 to 34,en,
CH,,,,,
CH,cisgender_woman,white,18 to 24,de,"I hope that by then we will no longer be talking about the human rights of ""women"". But of human rights."
CH,woman,choose_not_to_identify,75 or older,de,Equality with question marks
US,cisgender_woman+woman,white,25 to 34,en,Everyone is able to pursue careers of their choosing without non-skill based barriers. Those who do not want to or cannot work are financially and socially supported with no shame. All decisions about a body are made by the one who has it. 
CH,woman,racial_identity_not_listed,35 to 44,de,"Genuine equality, no poverty in old age for women, no forced prostitution, no forced marriages, economic independence"
CA,woman,white,55 to 64,,
CH,,,,,
UK,woman,racial_identity_not_listed,45 to 54,en,That we no longer have to ask this question
DE,,,,en,
CH,,,,,
CH,,,,de,
CH,woman,white,65 to 74,de,equal rights and wage pay for women
DE,woman,white,35 to 44,de,"I have four children, two own and two adoptees, Stay tuned for me."
CH,,,,fr,
UK,cisgender_woman,white,35 to 44,en,"Where holding the same position as any man is a non issue and expected as a norm, for all women, not just  white, middle class women"
CH,,,,,
CH,,,,,
DE,gender_not_listed,choose_not_to_identify,35 to 44,de,"Gender pay gap overcome, right to abortion, right to adoption for same-sex couples, role models overcome"
CH,,,,,
CH,gender_choose_not_to_identify,white,45 to 54,en,It’s a great mystery! I hope equality
CH,cisgender_woman,white,45 to 54,de,"Equal pay, 50% quota in economic, educational and political governing bodies, new, effective anti-discrimination laws that are also enforced."
CH,,,,en,
AT,man,white,65 to 74,de,Maximum 50%
CH,woman,choose_not_to_identify,75 or older,de,"Globally evil, reasonably good locally"
NG,woman,black_or_of_african_descent,25 to 34,en,In 10 years I would love to see a world where women have full reproductive and health rights both in policies and in practice.
CH,woman,white,45 to 54,en,
AT,woman,white,45 to 54,de,"Equality for women and men has been achieved - not only on paper, but in reality."
CH,woman,indigenous,55 to 64,de,
DE,,,,de,
CH,woman,white,25 to 34,de,"Equal employment conditions & remuneration, less sexism, less reduction to gender and associated stereotypes, equal opportunities, fairness (for all genders), parental leave"
CH,woman,white,25 to 34,de,Women will be more strongly represented in leadership positions and at the political level
CH,woman,white,65 to 74,de,probably just a little better
CH,woman,racial_identity_not_listed,45 to 54,de,Self-determination.\r\nPayment equality\r\nEquat career opportunities\r\nNufficially funded crèches by the state\r\nAll genders are equally promoted\r\nIn-school education on sexual diversity
DE,woman,white,45 to 54,de,Better
CH,,,,,
CH,woman,indigenous,35 to 44,de,"Should by then be implemented much faster than before topics such as equal pay, equality in the profession over-promotion possibility.  Maternity leaves must be adapted and flexible and significantly longer."
CH,woman,white,45 to 54,de,"in some cases, there will be more setbacks (anti-genderism, prolonged violence, etc.)"
CH,woman,white,65 to 74,de,"Many more people, men and women, have understood that all people are equally valuable"
CH,,,,,
CH,woman,indigenous+white,45 to 54,de,Women are equal to men in all areas - this path is still long and 10 years are probably not enough...
CH,,,,,
CH,,,,,
US,gender_choose_not_to_identify,asian+pacific_islander+white,25 to 34,en,"Equal pay and hiring opportunities, equal respect for jobs held by mostly women, elimination of rape culture, elimination of societal gender roles"
CH,woman,white,65 to 74,,
CH,woman,white,65 to 74,de,free from economic and social discrimination of any kind
CH,,,,,
CH,,,,,
UK,,,,,
CH,woman,choose_not_to_identify,35 to 44,de,"Equality, dealing with women-specific issues, no stigmatization, equal pay, equal rights and opportunities, women not considered the weak sex, self-determination"
CH,,,,,
US,,,,,
CH,woman,white,55 to 64,de,discrepancy 1st and 3rd/4th world
CH,,,,,
AT,woman,white,65 to 74,de,"Nationally very different because of the extent of democracy in the individual country. Hope for the separation of religion and state in most countries, for the end of dictatorships in Russia, China,..."
CH,woman,racial_identity_not_listed,45 to 54,de,"No more violence against women and equal pay. In addition, there should be more women in management positions. Fair division of labour in the household."
CH,woman,white,55 to 64,de,in Switzerland unfortunately very gloomy 
CH,cisgender_woman,choose_not_to_identify,25 to 34,de,Collectivizing care work
US,cisgender_woman+non_conforming_or_non_binary,white,25 to 34,en,"A culture shift so all public spaces are inclusive and intersectional, a more equitable public safety net, fair wages, equitable representation and an earth that hasn’t been destroyed by climate change"
CH,,,,de,
US,woman,white,25 to 34,en,"Paid maternity leave everywhere, access to safe abortion, free medical care"
CH,woman,racial_identity_not_listed,35 to 44,,
CH,woman,racial_identity_not_listed,65 to 74,de,"Equality, due respect for women, equal pay for equal work"
CH,woman,white,25 to 34,de,Protection of children/girls\r\nEfacial support for women and financial support for institutions such as women'`s shelters \r\n
